a,b
21.2,943.93
712.29,819.85
484.78,307.66
113.35,148.46
822.99,806.33
414.19,338.17
420.09,484.08
518.14,669.58
845.24,475.01
929.22,485.25
710,463.56
103.7,916.65
985.72,15
534.5,978.92
871.4,1.91
987.82,836.2
78.34,793.71
504.48,490.31
18.7,665.15
615.47,746.83
554.05,777.91
949.37,273.37
840.41,22.6
916.73,651.26
587.34,782.92
80.63,552.98
27.62,317.56
198.32,831.57
173.15,208.18
998.69,542.01
442.31,994.33
272.95,734.98
926.25,595.02
717.77,267.1
970.21,217.53
382.29,974.46
348.79,61.22
813.19,139.54
752.36,700.58
917.13,866.72
786.48,505.83
968.44,9.29
519.27,771.77
919.38,369.34
190.01,875.24
920.28,207.17
851.11,103.57
596.16,773.29
925.92,514.98
790.87,618.41
227.18,730.17
280.43,317.48
449.91,939.82
860.83,417.24
40.09,84.13
559.04,428.17
399.75,503.71
636.83,668.04
71.1,257.71
121.51,491.09
534.45,728.82
869.99,3.94
256.87,422.22
368.7,798.6
248.62,420.6
405.87,579.33
919.33,536.16
111.89,174.47
15.16,253.72
82.17,365.4
541.84,939.44
84.34,114.18
210.46,623.98
501.49,381.84
821.33,981.94
923.38,826.33
683.81,465.31
106.43,544.74
291.26,825.53
979.27,892.55
36.28,682.56
709.22,408.98
364.61,627.86
121.42,87.47
810.06,974.17
52.94,328.59
34.75,318.35
501.43,376.42
750.4,893.14
17.14,771.13
656.86,103.55
321.33,244
968.35,935.3
945.78,940.42
855.12,196.34
177.19,960.84
885.29,844.8
470.42,951
233.94,264.08
720.97,680.45
197.91,65.8
219.28,636.66
761.39,287.32
67.1,559.5
21.65,701.68
128.14,270.42
17.91,1000.34
396.41,493.81
749.69,343.61
685.2,325.71
377.07,461.08
906.27,64.54
293.9,192.29
430.02,853.4
381.79,926.45
579.63,529.11
54.91,748.35
221.3,71.58
130.62,889.89
363.82,63.31
602.09,807
362.63,269.74
266.42,569.02
214.51,56.56
139.88,897.13
135.69,941.5
159.43,906.09
754.65,247.37
4.57,866.64
879.67,131.24
819.3,108.55
114.27,639.9
602.92,68.99
591.5,235.7
196.59,904.71
903.03,418.46
264.51,142.29
210.14,945.91
717.2,780.82
328.54,634.92
484.1,516.66
368.53,518.7
42.89,859.74
536.79,634.16
764.41,231.13
552.16,128.96
476.64,935.36
500.21,6.94
572.6,441.35
292.26,573.37
406.19,145.43
177.86,134.2
241.36,462.62
164.76,868.38
983.53,923.25
251.76,443.33
69.84,635.92
138.39,853.36
4.89,315.8
263.81,5.11
381.21,489.73
918.31,822.84
447.36,254.33
12.27,193.86
961.92,763.24
586.83,129.22
801.07,589.3
139.57,188.62
580.34,721.18
84.65,883.02
20.9,925.66
950.54,797.09
868.24,955.58
939.43,515.13
859.67,386.22
106.99,500.79
458.56,438.69
833.32,692.68
995.94,35.43
853.46,352.66
881.94,399.54
775.6,715.32
779.99,378.57
286.81,294.67
36.66,341.57
213.02,836.82
523.1,866.04
311.74,257.23
206.51,549.26
717.34,822.03
35.21,102.71
321.97,37.58
611.05,486.86
949.32,215.76
697.05,503.59
800.54,261.18
427.44,812.82
261.91,32.89
734.19,938.97
196.73,673.45
721.05,824.56
111.33,800.4
819.7,839.73
500.74,866.82
628.63,882.99
470.36,426.15
33.12,8.46
476.38,460.3
777.51,330.23
326.86,648.35
23.28,514.17
992.23,955.32
964.92,895.69
267.16,108.15
762.89,817.41
175.86,568.6
847.67,137.32
739.32,522.99
202.78,429.43
843.23,613.17
198.83,527.25
50.79,116.73
775.31,435.37
748.19,260.43
789.77,787.64
927.3,582.15
989.08,585.62
723.25,911.95
740.22,976.29
152.88,579.68
12.71,735.16
941.54,648.73
917.98,86.95
780.74,975.78
554.97,336.27
368.66,765.39
815.54,361.14
53.26,962.67
52.03,351.43
93.68,564.77
371.86,610.91
637.98,683.07
456.16,187.21
222.17,757.64
260.77,997.14
214.03,176.75
748.04,175.03
570.18,845.17
834.36,920.97
404.55,330.52
73.29,136.97
691.79,771.87
126.86,569.89
640.16,98.59
240.28,359.09
127.71,450.63
607.77,545.77
469.77,532.79
319.29,132.41
199.71,718.93
702.11,760.51
595.98,120.75
379.42,872.31
334.43,785.02
699.73,238.36
338.09,345.37
534.9,263
328.88,337.6
960.35,643.86
698.83,496.97
597.61,988.25
909.88,516.49
64.9,712.34
228.4,649.18
341.34,404.97
243.66,716.16
568.96,270.33
532.45,763.41
203.7,955.83
118.21,91.88
324.71,590.2
39.01,326.08
685.41,50.88
816.26,514.39
563.27,995.49
207.03,916.29
463.38,584.66
150.81,597.51
641.76,636.99
125.82,815.97
77.63,807.86
89.12,872.28
64.37,949.62
104.87,813.81
709.89,78.56
84.32,948.46
835.38,861
269.46,494.21
739.52,296.84
151.4,35.86
717.01,848.37
254.92,538.63
116.86,629.5
595.43,897.2
846.59,302.2
389.22,783.33
909.82,395.17
979.48,86.49
516.21,852.62
598.64,955.91
383.48,284.37
73.11,47.61
129.81,496.27
4.9,100.05
845.65,306.68
523.11,800.71
929.46,441.53
67.75,88.83
3.8,110.74
845.18,382.72
466.68,298.02
414.9,90.04
577.75,637.45
873.07,291.54
211.3,672.21
130.74,291.17
44.44,667.01
114.84,23.36
707.91,901.02
83.54,696.35
925.39,901.1
578.97,48.3
132.72,895.26
237.92,527.11
690.07,513.26
471.86,505.05
522.45,645.37
818.91,965.09
708.95,357.53
216.11,758.83
60.5,298.75
415.81,528.23
803.72,351.22
139.69,761.61
510.67,369.7
234.61,310.33
932.01,424.97
889.76,859.63
962.47,886.78
440.49,380.08
752.06,195.29
737.46,903.09
512.2,727.38
223.77,440.86
438.05,788.16
335.31,319.35
213.34,337.34
205.01,899.64
797.46,370.69
855.53,204.71
864.05,578.08
155.28,712.6
782.14,419.56
581.13,574.61
817.41,246.29
405.35,716.78
696.17,40.15
730.58,627.54
683.84,307.9
797.89,38.8
943.72,552.32
997.28,393.25
529.99,187.14
394.19,769.01
451.23,426.23
112.99,48
823.98,516.98
673.16,564.15
22.6,558.15
972.95,203.83
293.82,865.85
410.53,249.39
322.87,97.32
456.55,474.07
129.46,26.3
286.7,838.36
531.27,156
555.68,187.67
401.41,41.02
427.4,648.53
547.1,293.52
532.62,937.65
323.66,861.74
603.44,78.66
217.57,864.62
795.21,884.16
837.91,286.74
217.53,27.3
53.05,746.79
899.69,822.25
567.75,920.64
548.31,608.09
579.14,213.01
424.69,693.71
902.3,68.64
330.28,702.28
124.19,733.68
653.32,119.53
559.22,736.81
843.06,45.84
45.3,783.11
30.2,127.7
366.66,645.45
509.97,975.84
125.49,396.18
503.75,975.21
82.96,218.25
802.93,860.27
435.35,722.96
845.06,308.05
497.8,521.27
713.12,421.16
538.49,589.02
336.48,72.02
196.12,711.81
116.19,356.24
478.87,623.81
135.1,506.11
912.25,216.36
670.52,634.27
6.51,278.95
920.99,974
192.19,883.2
203.18,407.51
323.94,960.2
754.89,796.08
447.53,28.27
182.01,699.34
686.42,477.61
880.66,307.16
403.9,379.63
808.06,182.7
984.72,811.55
280.44,710.91
635.8,775.33
568.75,817.47
431.37,699.12
402.06,692.64
97.19,341.47
659.38,945.55
622.43,95.29
970.81,322.88
622.73,155.67
620.73,994.65
499.01,569.05
207.31,794.3
702.15,299.13
18.72,891.4
936.55,313.39
606.81,438.9
955.75,844.05
734.67,114.02
832.87,344.35
861,210.71
945.37,857.64
853.15,842.92
813.63,526.77
333.53,940.72
916.37,921.95
475.66,411.28
762.18,402.16
490.31,726.99
833.74,640.64
955.42,549.63
68.52,122.14
995.05,611.1
236.76,306.63
605.95,921.7
572.58,99.99
221.33,999.49
222.82,380.94
79.75,489.03
411.77,789.47
830.57,466.14
964.76,606.96
655.45,827.22
874.59,296.76
243.33,444.97
956.88,430.51
550.21,602.81
846.66,461.71
790.38,29.19
84.07,886.19
598.78,978.99
395.59,504.78
803.23,964.26
957.52,555.53
251.39,856.97
28.77,38.4
43.45,876.38
618.22,210.89
271.45,388.89
793.95,395.18
840.68,97.03
711.69,221.48
68.87,474.63
229.58,444.01
640.49,326.71
597.41,795.73
91.8,474.8
956.92,55.3
697.08,781.43
860.08,996.53
123.34,446.04
44.26,848.48
773.24,569.34
861.29,739.94
500.56,973.07
528.81,321.31
351.61,719
819.28,629.44
870.06,300.75
268.11,830.27
474.91,925.68
33.7,453.35
237.05,907.41
77.04,773.95
665.73,357.36
640.01,139.74
822.45,545.55
315.18,837.56
148.3,392.3
718.43,932.43
502.33,189.85
544.76,904.38
841.92,647.86
469.02,720.25
10.85,152.67
601.07,518.74
990.18,424.85
285.54,147.04
932.04,917.18
911.48,584.8
42.68,263.84
23.8,317.89
983.14,76.63
432.54,85.57
29.07,525.15
96.39,88.85
943.26,874.11
442.59,694.04
393.91,470.14
925.48,103.5
302.4,148.19
357.49,777.43
571.09,223.39
279.1,159.01
456.98,912.18
876.96,301.09
196.61,288.48
285.49,947.08
775.12,409.35
198.65,466.77
