a,b
973.52,616.99
916.16,511.75
956.43,534.03
661.42,399.68
873.05,208.46
704.74,453.93
258.87,439.93
52.93,791.17
731.94,458.71
668.46,827.81
672.45,804.72
920.15,80.66
194.92,542.78
509.88,607.29
316.88,345.47
847.86,685.58
377.31,226.64
50.14,939.42
982.39,677.17
866.02,995.13
569.51,511.77
406.66,558.47
175.28,219.94
995.13,313.58
36.68,628.95
471.37,907.99
270.14,559.52
167.14,147.7
272.7,585.86
211.03,152.51
123.74,167.28
362.54,661.66
438.75,308.68
674.01,411.63
546.9,790.19
593.93,12.98
109.13,359.56
795.62,278.67
949.99,858.47
888.77,137.35
81.7,854.12
152.04,225.35
139.26,792.67
315.93,783.29
320.22,437.08
479.19,134.44
390.02,723.51
154.01,733.51
622.79,598.95
595.38,103.52
538.74,848.89
166.8,650.21
265.8,290.05
753.17,891.59
655.36,10.39
29.57,11.57
315.4,471.22
323.65,39.13
733.98,284.29
450.46,447.87
152.99,864.73
607.76,58.96
634.99,361.08
988.15,491.98
179.6,65.32
426.43,979.11
893.59,245.15
73.02,795.24
817.66,791.31
734.61,638.45
218.61,272.42
97.42,199.47
644.89,749.8
787.97,600.28
709.09,699.36
13.75,368.47
733.49,400.87
13.32,511.05
219.08,471.88
269.61,243.91
445.09,747.21
523.4,685.01
374.55,567.47
206.68,177.94
31.92,848.26
614.81,746.32
596.26,95.41
30.59,12.81
549.73,632.19
886.4,144.24
666.72,457.03
140.39,782.47
153.96,684.48
567.68,55.85
732.2,128.87
401.5,354.76
119.3,827.82
233.48,550.28
311.25,564.47
31.96,132.15
38.08,61.08
990.64,797.53
851.44,225.1
102.55,876.74
234.05,888.34
608.78,758.37
926.17,857.08
907.13,429.08
411.38,187.59
878.61,735.18
630,377.02
331.29,942.57
682.49,399.12
311.33,231.02
440.19,663.73
85.89,238.85
838.8,24.54
890.31,126.57
280.51,394.81
596.25,97.56
319.27,22.99
657.03,81.11
470,730.32
340.3,379.32
941.03,542.31
419.6,185.56
294.01,716.67
331.71,795.78
118.13,798.17
516.76,181.89
409.04,521.3
518.94,111.3
759.13,51.06
295.28,711.57
411.96,369.1
856.18,414.11
358.53,483.75
186.55,68.73
497.62,220.45
133.46,36.45
815.39,870.51
27.32,576.5
841.19,656.76
580.16,114.65
996.28,693.63
729.32,965.16
322.94,513.03
287.81,249.01
217.08,31.68
550.91,908.41
460.7,807.2
985.27,867.38
511.99,98.03
574.18,772.57
466.16,620.13
375.37,660.29
562.71,986.77
640.31,230.34
641.58,676.42
519.38,940.12
780,382.87
448.04,504.56
685.56,563.78
532.76,403.83
386.61,774.08
791.6,260.01
702.19,834.08
504.08,681.51
512.8,255.64
412.39,139.24
254.45,375.55
60.59,655.73
848.22,506.37
977.22,347.29
4.4,153.46
908.23,677.74
911.01,955.62
994.95,815.55
352.04,677.67
165.73,66.66
985.88,603.68
573.02,296.2
431.38,606.35
11.87,185.49
471.33,312.53
600.97,424.47
96.87,442.29
937.65,327.04
688.27,230
402.19,447.7
68.34,754.26
429.46,916.91
615.13,662.57
876.73,706.53
797.23,61.01
638.45,37.6
36.24,380.07
596.17,999.68
874.3,25.97
276.98,92.97
990.65,250.45
64.98,741.4
403.3,209.72
316.93,81.01
343.38,719.17
33.77,774.92
644,161.7
21.59,986.6
519.87,296.09
342.08,144
469.69,934.7
305.07,872.65
937.52,702.45
83.17,701.57
180.94,243.42
484.98,345.3
488.17,324.38
689.97,6.49
872.41,456.27
317.04,400.97
978.13,962.99
150.87,500.03
112.32,967.17
526.33,712.43
131.32,159.84
502.8,937.63
384.98,812.29
114.14,967.52
763.93,444.05
4.63,191.26
516.94,310.36
734.81,858.75
401.16,140.41
892.93,638.3
191.4,39.32
57.19,231.04
988.32,39.66
933.37,254.48
615.38,641.67
510.21,758.94
523.57,21.94
877.84,414.85
572.06,177.73
971.51,116.19
698.36,833.96
414.35,506.59
48.65,4.12
796.71,85.94
803.05,96.76
163.86,165.52
571.26,620.22
72.7,210.33
440.12,603.87
143.2,991.42
245.92,105.59
560.15,703.48
834.62,968.29
890.63,72.87
754.17,865.1
403.6,767.63
30.01,9.39
501.35,91.54
276.38,596.05
48.16,972.68
550.81,510.92
766.9,136.7
834.19,470.36
77.49,696.6
645.94,716.51
907.78,859.09
897.72,315.06
754.93,151.21
518.64,746.5
198.68,917.29
435.18,355.87
450.54,677.5
378.35,358.83
231.02,414.42
584.14,347.61
349.28,583.86
104.29,98.41
675,242.73
932.2,674.62
395.39,386.03
114.45,407.3
907.43,671.91
713.42,170.11
955.92,463.36
510.43,35.74
390.83,847.55
466.38,81.09
718.86,927.35
3.87,429.66
386.26,354.79
750.81,77.56
567.3,397.72
632.12,404.37
932.86,286.65
201.22,721.39
985.43,40.76
379.14,756.43
284.8,125.56
790.68,521.95
692.37,517.63
696.78,576.39
19.9,46
642.87,336.9
227.06,174.44
679.27,210.92
468.43,534.08
681.81,276.08
35.28,568.89
988.38,180.93
579.03,404.23
572.13,773.35
548.04,857.44
900.97,789.25
933.54,168.69
180.67,499.57
814.38,61.21
773.79,211.16
854,586.51
924.4,360.85
694.63,920.87
328.67,545.73
997.91,616.18
458.13,344.66
977.99,193.05
208.98,445.89
43.71,811.35
944.61,134.92
835.57,984.11
798.51,624.6
503.77,834.23
566.78,525.28
680.15,199.92
734.37,314.62
373.82,446.2
431.37,900.23
792.98,683.68
21.23,756.85
404.85,915.25
591.55,646.44
870.01,954.86
89.32,619.96
165.34,709
572.11,243.98
309.14,750.08
814.22,567.91
649.87,350.11
809.42,4
498.75,747.44
220.97,96.63
615.97,683.12
840.52,665.07
601.03,480.12
578.56,382.34
164.99,22.98
347.5,856.32
963.31,634.23
293.88,139.89
1000.42,137.93
795.96,415.2
962.89,600.41
62.6,798.29
665.98,752.21
892.61,280.02
765.21,918
730.85,476.94
748.39,740.75
987.37,453.2
506.57,884.37
784.3,533.66
396.81,698.65
990.49,345.63
393.77,389
358.13,897.33
127.24,93.2
955.84,678.75
36.71,931.54
999.95,192.26
962.46,612.36
33.27,364.39
973.35,399.8
526.5,442.74
609.03,594.82
15.47,420.44
453.24,326.53
646.27,229.32
730.57,830.53
521.15,513.2
380.62,430.98
692.06,778.1
669.94,359.42
145.56,950.89
358.29,374.88
372.99,638.88
780.04,257.5
643.23,712.86
975.58,750.09
971.31,304.57
16.57,639.49
205.59,706.98
209.59,456.83
950.32,861.38
77.26,220.66
377.24,760.21
463.51,4.27
567.17,74.32
165.85,296.03
622.38,907.41
447.74,572.23
78.99,222.05
124.32,752.24
200.98,598.17
559.73,38.3
417.7,417.64
348.85,669.93
400.38,607.26
568.3,344.78
391.52,190.01
331.5,886.17
593.82,119.34
742.78,759.15
160.98,656.86
705.16,138.55
462.41,1.97
277.11,998.51
796.82,627.76
91.73,925.51
145.76,83.24
441.95,858.98
175.53,806.22
869.19,313.21
133.3,936.18
17.38,492.84
292.02,798.59
884.18,508.02
778.52,184.03
691.61,914.45
842.4,994.81
331.5,154.34
589.71,949.34
987.19,381.09
118.38,590.45
666.02,140.36
298.87,617.19
648.41,478.37
15.9,932.99
469.09,89.3
966.2,222.43
550.82,558.98
816.98,108.14
199.99,771.71
554.19,993.69
717.45,463.1
582.95,647.85
67.75,202.4
64.97,730.15
108.71,951.14
241.85,917.16
354.25,631.56
645.97,322.44
108.22,495.8
345.76,955.63
207.59,351.4
337.57,883.34
743.89,809.07
55.68,586.17
387.76,490.14
601.97,528.97
23.19,34.7
872.33,995.98
891.2,310.02
600.6,489.52
429.64,690.11
94.19,570.22
721.17,140.42
566.32,564.44
930.81,800.83
642.22,944.35
200.72,171.13
839.13,606.1
341.13,559.33
489.01,754.93
422.89,921.4
591.43,161.95
894.31,388.71
348.56,950.38
289.68,246.33
321.29,627.32
724.96,528.64
535.14,725.85
274.05,49.99
530.34,2.46
564.42,701.03
591.69,456.31
640.21,740.45
723.13,169.56
864.18,661.85
476.74,552.64
4.85,928.79
807.44,43.04
764.5,992.1
409.07,830.49
36.85,138.87
833.92,507.72
630.73,491.03
688.61,553.59
556.08,152.44
912.41,212.35
44.69,886.3
457.59,918.16
734.58,107.59
889.65,178.17
50.17,488.13
471.51,365.32
690.26,367.13
138.19,454.73
904.76,115.75
344.86,84.56
869.54,579.54
639.15,789.69
567.81,556.29
548.9,149.87
632.61,305.39
919.12,794.1
667.8,6.66
693.5,776.75
375.04,72.88
460.31,534.43
192.46,501.55
525.75,244.77
411.03,195.59
536.64,549.92
376.56,498.14
237.93,236
238.84,546.88
453.52,918.47
309.28,852.2
481.88,226.8
728.2,895.25
23.02,971.47
807.41,699.78
971.52,997.77
690.96,814.53
919.14,69.14
448.25,624.75
220.52,958.42
399.48,993.64
753.25,15.27
377.07,736.39
589.26,208.28
426.81,764.78
274.19,125.11
752.77,484.73
341.18,286.32
341.39,828.29
455.24,299.08
738.92,733.9
729.07,556.89
359.41,419.14
752.72,765.4
968.21,583.2
72.91,774.69
451.61,375.5
884.98,738.52
273.97,368.66
789.24,458.18
18.8,926.55
551.19,593.39
219.3,146.77
85.95,39.43
752.02,314.59
843.29,909.1
341.85,887.86
322.52,56.04
378.74,500.3
391.65,417.65
115.66,888.46
763.72,682.02
729.59,501.92
718.74,388.18
295.46,794.91
631.1,137.64
381.67,580.1
827.98,929.55
744.51,559.79
832.94,524.38
109.62,325.98
49.89,927.27
851.06,968.54
949.79,219.15
304.28,322.42
508.68,701.42
757.44,741.04
761.85,67.25
575.68,882.65
489.94,307.67
273.14,975.09
849.22,19.58
