a,b
346.68,529.13
817.9,874.26
249.52,695.4
669.15,266.63
901.91,355.5
417.33,902.36
84.41,425.68
433.49,564.51
9.61,420.59
746.39,716.26
325.79,300.64
236.26,587.71
948.85,236.5
509.43,285.27
884.1,15.19
290.14,837.76
240.79,392.72
256.74,774.97
506.2,650.2
271.6,552.41
209.28,817.07
757.18,541.95
647.58,148.16
892.17,53.73
307.65,751.05
986.97,520.42
183.4,302.1
748.35,807.84
428.2,588.8
306.19,89.79
277,691.34
116.61,995.08
34.33,181.51
992.99,113.97
797.71,479.61
596.51,670
387.02,278.74
979.82,959.06
998.06,732.95
900.14,101.79
374.2,842.04
372.99,3.71
228.28,504.09
180,450.33
432.77,493.02
303.43,441.83
578.68,164.13
248.93,658.17
970.32,958.5
207.14,683.89
497.8,849.75
921.59,673.75
637.42,314.1
883.11,936.8
391.11,981.85
881.84,26.66
839.99,944.95
42.43,321.89
254.89,413.48
206.87,935.41
303.28,818.62
760.53,451.71
712.88,777.98
531.46,860.18
742.59,76.19
575.05,667.42
322.92,546.6
383.89,32.38
445.32,48.42
290.99,333
18.28,289.22
637.89,30.13
414.12,629.29
99.85,387.35
553.3,695.83
894.59,722.59
206.77,12.82
423.08,369.19
369.36,962.83
636.81,160.03
20.5,741.75
40.29,141.98
49.04,123.95
262.3,473.29
256.15,94.81
706.26,35.46
584.26,491.4
626.95,588.72
787.94,472.82
345.47,44.68
756.66,427.33
251.14,208.61
443.09,874.08
626.07,586.54
649.25,525.65
131.96,63.47
231.45,429.73
462.67,301.62
365.67,949.14
862.84,824.27
843.01,655.24
260.65,395.72
407.62,162.58
177.77,100.38
368.03,897.7
212.31,9.06
127.51,351.2
298.69,28.56
379.51,552.36
883.47,445.39
837.73,384.99
490.98,948.55
293.61,269.58
990.02,233.48
383.26,964.66
557.23,340.29
98.58,731.26
894.34,990.72
631.7,462.93
429.72,980
192.16,774.37
63.19,443.12
751.05,130.32
546.48,790.23
86.09,968.42
522.14,301.38
834.29,874.81
564.56,870.42
311.09,134.6
768.79,2.41
698.99,924.31
1.56,26.1
615.79,248.73
367.9,851.14
389.36,881.82
349.81,691.85
746.6,378.91
305.32,306.43
233.82,969.08
737.13,234.43
994.99,780.45
412.94,982.64
522.24,158.33
395.35,772.57
804.76,718.48
96.15,65.4
382.73,833.01
123.02,449.67
340.27,99.68
803.54,1000.47
163.03,953.52
259.6,472.36
