a,b
737.18,384.62
973.74,668.65
573.23,505.43
381.61,489.17
993.21,767.58
740.96,530.51
475.44,991.17
724.38,744.16
540.05,600.3
101.17,175.97
297.65,767.89
459.25,88.72
589.2,794.74
738.85,979.68
454.36,151.48
712.56,968.46
844.51,242.33
225.13,279.76
41.34,569.12
577.08,758.94
804.79,233.46
494.09,372.58
597.38,557.82
423.85,824.66
771.93,783.72
190.94,199.89
347.54,635.82
897.27,678.33
295.24,835.27
360.25,447.54
426.22,251.05
269.78,408.84
825.92,158.65
51.26,270.58
120.89,994.41
520.55,147.24
535.87,131.87
159.97,61.42
891.47,412.31
859.4,594.23
500.4,21.08
627.43,49.76
392.64,318.89
223.68,37.08
580.54,999.92
425.03,792.96
235.26,380.36
848.99,721.23
953.4,875.04
403.42,433.59
465.45,696.97
210.8,648.43
307.97,782.95
165.71,880.04
344.22,953.21
349.54,992.09
336.38,522.21
973.28,307.06
933.73,738.88
292.84,343.38
519.34,588.2
594.48,707.18
98.91,689.48
593.09,614.61
693.27,486.7
482.51,559.83
492.7,554.73
307.3,44.8
439.53,998.72
767.28,688.75
935.4,940.23
908.69,166.31
674.86,573.66
50.88,789.2
107.71,566.92
600.22,871.72
54.41,252.96
764,94.96
229.46,867.59
342.61,735.99
165.96,297.68
462.54,510.73
994.44,49.13
282.42,9.9
944.83,927.56
418.93,804.02
471.51,748.63
48.43,862.56
967.16,532.02
964.76,756.97
875.02,440.37
868.98,495.58
524.27,533.42
129.28,708.64
514.47,948.81
209.36,725.88
475.39,372.47
194.48,711.29
937.71,977.68
636.05,504.35
164.73,23.3
262.65,394.86
253.14,938.62
363.35,711.49
421.37,710.77
625.44,511.81
942.02,274.72
517.03,675.61
984.89,880.86
527.08,12.54
373.24,195.12
666.13,233.06
917.84,159.48
878.79,497.81
605.35,771.69
240.11,882.89
518.05,852.83
244.22,104.92
92.24,665.72
505.51,927.74
355.63,995.41
702.33,759.66
864.07,751.19
381.5,703.88
174.35,138.13
924.83,591.01
162.76,461.14
181.06,28.98
809.82,327.89
299.42,869.75
401.56,364.43
153.23,188.81
491.29,213.54
622.3,449.17
886.06,502.94
93.02,243.42
873.26,314.33
771.06,431.82
379.77,938.73
