a,b
675.35,502.85
561.05,715.12
293.2,488.79
534.73,463.45
302.44,36.47
860.75,688.16
980.95,951.2
413.49,955.07
882.39,845.58
407.2,751.41
276.69,806.89
300.09,334.5
801.45,293.62
534.02,796.14
498.86,661.67
528,410.57
893.09,776.57
79.21,738.35
114.65,982.55
953.76,544.25
636.15,432.83
487.98,589.92
520.64,267.88
826.24,967.17
528.15,913.47
225.51,264.48
346.89,398.85
704.65,45.83
555.67,756.56
570.34,395.45
74.49,357.72
91.49,191
134.44,747.51
976.32,282.4
561.12,352.55
677.82,622.45
121.66,58.23
1.67,380.68
492.1,330.83
816.99,750.34
717.93,902.74
381.36,783.49
535.74,596.27
249.09,720.71
927.74,119.47
111.52,650.53
691.42,820.98
320.03,788.7
503.6,169.07
233.45,854.89
554.45,951.47
413.25,842.2
371.88,873.7
376.7,808.9
677.46,54.03
84.49,258.65
630.91,579.16
161.71,102.98
970.78,618.89
478.24,511.7
604.46,115.48
235.6,387.18
672.02,277.42
501.71,951.71
772.49,359.3
769.68,764.55
301.57,640.03
917.12,434.94
48.17,839.48
859.54,973.12
571.02,479.14
175.35,256.22
535.44,629.95
105.75,837.97
607.39,389.77
365.11,586.63
664.82,915.65
674.05,686.48
853.62,206.45
380.06,378.29
552.55,112.16
425.82,310.79
153.17,352.38
970.6,663.2
971.75,369.35
450.12,36.4
140.2,168.81
536.63,163.29
615.83,622.49
930.08,514
523.48,642.26
429.45,8.57
538.27,181.52
80.02,572.11
168.91,30.02
579.13,612.75
17.96,773.23
734.1,15.38
837.47,784.23
189.37,596.01
599.13,531.07
126.33,101.69
777.67,637.18
534.37,522.21
356.8,269.91
174.09,239.96
27.79,247.47
47.87,659.4
78.51,669.55
769.17,493.6
665.88,696.31
720.12,9.23
42.75,12.58
272.08,99.67
232.14,719.92
364,489.01
663.55,63.71
858.37,115.59
954.76,357.45
230.37,584.61
705.87,949.11
297.98,891.68
557.29,247.6
646.5,480.34
839.47,84.64
172.53,341.37
813.63,202.19
657.81,746.03
50.19,2.32
104.11,800.64
481.47,372.6
550.07,759.05
134.47,853.72
481.21,171.5
827.16,750.35
828.76,157.78
697.22,154.14
143.96,425.47
892.48,587.5
410.82,421.24
