a,b
856.86,146.39
454.55,414.95
339.83,589.08
533,98.41
370.18,654.42
632.78,552.32
523.4,501.35
224.2,500.85
690.16,572.28
234.85,803.21
995.13,695.14
918.21,651.7
198.85,215.81
250.8,846.78
375.81,645.68
699.27,196.33
49.08,875.53
312.44,967.18
525.02,864.99
853.08,433.36
81.94,157.93
458.77,296.95
314.03,148.52
293.5,970.75
36.29,365.02
164.96,947.43
912.29,163.04
541.72,545.77
461.28,77.66
289.61,894.4
513.5,888.84
822.33,178.99
172.82,674.14
658.94,686.84
267.18,316.42
679.8,121.99
716.22,45.09
61.66,225.09
949.12,513.81
157.31,83.62
748.55,872.13
210.37,120.21
470.87,857.62
823.16,329.43
662.56,53.03
930.26,9.78
576.38,190.71
390.02,794.57
818.03,963.46
359.62,79.09
147.79,553.79
602.61,401.05
358.96,256.96
624.1,217.02
573.62,142.21
736.97,330.52
260.93,979.39
858.83,33.5
658.56,43.23
616.73,641.3
791.97,850.27
922.45,731.67
948.87,926.45
122.4,96.52
389.36,47.57
318.88,366.26
936.66,86.44
797.44,13.42
318.42,884.4
879.13,81.86
374.36,520.8
315.15,560.87
417.46,525.27
737.65,737.52
985.37,641.14
347.4,520.63
614.55,375.61
53.81,866.62
565.69,556.1
914.7,956.38
468.02,750.28
321.51,594.75
880.93,839.27
397.84,469.78
7.27,339.16
163.92,94.13
904.29,605.68
307.22,175.03
694.49,971.21
727.76,510.02
409.71,703.33
709.02,487.45
651.61,902.58
559.68,710.8
461.47,387.92
176.7,295.45
823.78,753.12
73.55,259.6
385.34,486.32
559.95,895.24
644.44,998.27
543.68,546.29
829.67,795.69
856.62,82.29
74.94,718.38
401.3,452.76
444.68,817.94
298.35,920.39
61.88,74.56
726.5,273
187.76,774.43
624.56,382.05
801.02,762
312.8,417.26
859.74,79.33
768.07,915.91
101.8,569.75
36.23,84.81
877.52,807.57
413.3,525.69
285.26,562.25
628.12,250.94
797.67,273.68
636.98,950.97
884.19,974.2
502.94,537.47
379.91,660.18
47.87,171.43
734.66,877.98
562.5,965.31
41.65,787.63
504.95,312.14
282.08,365.63
512.7,78.75
276.73,28.52
28.57,262.8
402.15,475.5
868.5,127.41
106.64,420.93
197.02,340.32
60.49,177.74
234.01,513.09
115.53,263.13
538.68,323.92
906.57,699.48
646.83,333.96
327.43,746.91
865.19,704.32
682.32,528.75
304.23,136.11
237.5,957.32
858.21,757.2
440.15,784.49
184.94,334.84
60.77,739.18
21.25,856.23
145.25,239.03
466.15,64.8
337.8,749.11
25.3,524.44
270.66,812.56
490.53,579.95
137.02,52.86
593.22,785.18
65.21,161.44
690.59,131.39
147.33,452.16
115.18,675.13
742.86,674.42
273.63,642.09
734.21,183.68
265.06,647.81
140.22,827.44
59.36,555.43
293.32,580.29
446.5,988.48
719.61,38.13
352.87,63.89
567.89,673.44
426.59,810.4
923.36,569.39
440.01,342.71
686.94,775.45
276.43,203.54
106.87,811.86
381.76,523.48
463.61,958.65
933.23,288.72
545.68,774.82
767.15,870.33
293.09,950.36
21.39,196.08
495.57,338.14
606.48,83.72
379.64,151.75
456.49,318.7
157.86,999.12
151.76,405.03
306.66,862.19
687.02,521.24
413.37,262.57
56.72,605.87
192.22,277.75
923.76,398.48
676.72,488.85
978.46,716.94
427.82,947.58
292.89,817.01
476.77,642.11
451.66,826.67
610.06,3.68
542.49,798.05
219.43,664.55
650,633.01
991.56,557.58
911.85,954.41
758.27,367.4
209.85,187.34
752.7,485.14
814.48,848.1
49.78,716.83
419.06,120.94
592.54,503.64
221.22,615.72
628.68,929.34
397.39,745.12
998.42,466.97
933.14,986.76
452.99,327.15
879.39,196.39
535.37,245.67
125.63,181.61
532.63,504.45
425.48,535.07
776.3,196.09
546.66,9.35
477.52,93.72
555.12,39.6
421.88,450.67
329.83,948.54
680.86,6.2
608,133.09
139.4,440.21
875.28,210.47
883.95,622.41
382.78,412.96
829.74,282.11
764.71,219.56
622.91,694.59
298,239.13
256.26,469.8
329.73,101.59
733.46,631.28
445.66,394.71
244.03,633.13
489.99,400.39
681.92,87.37
863.23,207.42
711.1,772.89
494.56,518.02
800.25,964.09
995.76,40.04
385.16,784.46
565.35,345.23
706.94,690.71
685.19,769.77
336.63,859.65
599.53,786.57
550.52,993.55
399.4,404.53
336.93,124.28
743.01,56.63
854.23,937.09
977.37,423.7
819.77,983.88
547.91,177.12
306.15,883.9
527.9,345.39
317.98,773.43
123.53,292.17
354.85,865.65
534.49,347.9
370.31,430.67
252.61,886.58
773.76,449.76
528.35,269.55
32.94,674.36
866.59,429.01
513.14,650.09
778.36,94.1
995.12,978.43
123.02,118.12
186.08,798.69
954.08,364.16
351.25,194.44
331.93,482.15
59.44,498.46
336.27,573.24
637.68,295.04
380.73,633.22
419.11,326.11
997.74,516.57
917,110.53
58.5,383.57
59.73,624.26
399.93,75.35
99.81,532.42
174.27,924.67
848.63,976.12
558.85,43.05
136.21,685.28
254.16,795.67
462.92,692.72
249.88,939.88
262.84,740.56
91.53,918.73
59.4,366.35
563.96,335.09
34.08,666.41
24.11,884.08
648.53,755.05
225.31,14.57
427.35,217.27
252.94,525.28
885.07,273.75
340.88,73
503.37,95.08
728.71,72.91
635.07,814.91
479.16,19.73
634.3,170.87
400.59,432.78
792.51,933.27
544.99,294.93
287.69,203.84
995.11,538.1
314.96,679.11
54.06,516.91
20.51,375.46
218.09,982.47
728.36,930.49
653.99,14.52
250.14,101.58
670.28,685.83
383.01,216.6
292.94,617.71
539.76,737.63
192.34,714.28
441.71,812.54
364.86,513.04
599.26,820.98
68.92,256.22
659,343.49
325.95,482.17
596.33,24.25
919.62,368.67
92.96,239.26
340.93,422.62
602.37,415.06
544.9,429.13
984.75,834.76
330.78,491.21
437.13,940.33
240.44,605.33
692.09,333.51
951.57,9.82
812.82,713.59
116.98,564.12
820.09,118.56
986.48,799.33
519.57,365.17
881.91,742.2
234.99,950.27
321.86,180.7
232.85,686.61
981.12,9.31
485.84,961.9
992.48,446.15
984.83,799.56
622.96,673.27
238.25,628.69
786.44,626.04
822.54,204.47
937.43,783.54
374.26,683.79
587.34,943.98
420.35,793.79
585.55,532.12
391.34,237.64
526.59,567.37
66.84,605.02
902.1,437.96
82.99,651.86
403.36,534.41
409.17,580.35
704.58,138.49
192.78,777.18
500.9,586.7
693.67,706.94
593.06,230.93
173.43,449.49
235.94,345
934.8,128.46
791.22,197.15
217.55,604.76
539.47,93.38
860.39,347.55
214.35,288.56
644.03,83.6
706.5,465.71
267.01,714.14
957.41,533.03
159.27,331.25
697.83,782.58
541.38,65.74
419.66,928.62
822.54,378.91
444.2,160.91
901.9,319.07
596.81,673.74
1.53,593.83
635.35,548.4
756.04,772.23
896.43,777.99
103.04,699.58
871.89,978.59
376.04,236.53
114.95,359.9
544.55,104.33
412.2,885.15
997.36,960.7
575.1,755.91
671.95,966.19
488.26,701.99
776.83,886.33
59.98,623.58
550.77,593.6
131.45,732.36
100.71,383.26
850.4,928.43
337.7,483.04
602.5,805.62
521.07,206.11
762.13,344.26
102.45,674.94
292.82,302.23
760.83,981.16
421.89,267.78
344.18,968.82
630.3,1.95
3.15,364.66
332.07,891.93
571.89,283.17
924.21,531.37
208.24,738.93
41.66,812.35
619.65,355
560.66,526.22
729.13,115.22
549.24,774.64
685.52,213.96
907.14,913.86
154.1,460.45
991.87,200.21
340.67,755.18
601.22,36.2
733.64,566.4
967.49,556.22
51,553.66
864.34,445.43
72.66,349.96
992.85,325.77
880.84,390.45
903.18,719.04
41.66,847.44
123.81,58.52
144.13,886.91
522.04,435.84
250.46,716.6
743.52,1000.95
290.63,39.34
37.23,936.74
961.65,117.07
137.83,34.72
140.52,402.73
969.63,57.03
82.04,516.08
993.7,71.32
513.26,60.64
301.52,798.7
497.05,907.12
962.3,239.14
86.07,362.08
167.95,416.19
881.24,5.87
446.03,738.08
959.13,587.45
430.13,879.91
880.57,476.58
203.03,901.51
17.06,953.79
417.03,979.44
302.04,184.44
149.25,257.22
574.89,541.36
575.51,939.39
97.74,556.42
714.41,788.75
107,744.61
337.67,69.58
330.96,721.63
353.31,947.94
514.6,238.91
561.4,543.76
55.47,524.8
653.04,434.84
927.15,153.3
150.24,394.94
64.87,854.63
174.16,320.79
772.77,376.55
704.96,403.95
486.93,360.52
943.55,661.25
118.72,49.66
272.9,567.86
922.96,337.1
853.33,649.24
108.87,628.21
387.88,398.48
645.59,473.28
666.64,594.12
646.51,283.41
762.58,544.18
692.36,809.84
652.39,717.55
161.97,590.15
220.94,641.48
532.31,841.12
803.04,303.26
570.53,437.58
415.5,55.67
169.34,434.86
463.95,645.46
276.05,12.9
217.45,271.08
672.16,201.45
429.25,931.73
760.16,236.69
133.9,822.42
680.2,390.58
885.35,858.57
884.61,457.59
409.47,743.24
263.06,590.27
182.01,913.19
745.45,291.58
94.79,510.99
965.54,746.59
689,53.68
176.48,794.71
743.95,12.25
481.8,994.84
491.32,912.6
730.35,280.99
424.59,164.59
437.18,894.6
22.82,141.19
558.94,597.93
677.73,892.96
396.08,22.4
438.64,391.59
917.75,33.45
62.54,341.21
877.86,602.23
233.65,46.49
209.65,986.13
569.39,706.8
55.47,272.76
930.81,400.34
385.02,496.27
690.31,859.55
592.44,715.84
319.94,477.4
602.15,937.33
284.69,524.78
102.27,781.39
537.69,923.97
984.7,190.13
578.19,228.11
924.69,358.02
635.88,124.15
252.34,877.16
198.85,366.38
954.11,320.71
759.4,824.63
268.18,266.62
184.41,921.16
139.54,284.46
355.93,891.23
484.38,862.26
530.77,143.6
969.93,522.38
883.05,596.59
714.94,784.03
665.42,603.57
988.98,503.84
645.83,432.34
