a,b
469.31,762.92
598.73,936.38
702.07,809.75
766.03,980.99
552.18,304.11
836.96,114.46
646.54,723.2
782.15,1000.51
669.07,775.64
708.51,359.41
685.68,789.76
474.22,494.65
39.04,94.13
321.86,47.71
574.11,537.25
835.5,176.73
926.99,472.08
869.53,82.25
572.66,704.35
718.71,425.62
782.55,279.75
162.29,681.84
489.77,253.12
957.8,235.85
597.04,805.35
12.08,890.38
477.1,57.71
595.35,704.28
317.01,701.99
673,915.18
892.25,104.02
608.66,346.61
579.21,105.05
504.96,240.17
232.9,944.28
374.89,866.2
196.93,61.57
944.72,398.56
612.89,418.57
594.17,914.31
560.54,423.57
573.59,356.38
803.05,504.24
781.33,642.26
472.86,929.39
452.43,459.78
600.47,814.53
273.89,62.3
937.82,738.51
121.79,768.14
387.05,739.31
874.08,616.18
113.12,433.29
867.59,641.83
441.02,826.41
218.85,744.43
4.5,768.98
167.34,707.09
491.92,479.05
952.24,412.97
220.72,523.08
345.2,831.51
115.8,55.83
590.68,127.89
284.34,887.82
417.62,749.92
238.66,499.69
261.24,578.2
50.51,234.83
365.07,114.64
334.11,905.96
187.56,693.97
348.17,749.37
587.43,673.42
76.24,188.28
790.11,26.67
407.4,173.53
320.73,394.65
359.95,896.7
111.26,187.02
428.78,642.83
78.22,145.45
469.53,667.69
290.52,157.19
618.26,847.82
193.07,395.78
188.16,789.44
684.11,170.51
976.06,736.37
622.44,531.32
220.58,383.59
472.19,667.33
952.89,696.56
494.12,61.89
649.39,486.18
784.47,613.78
939.82,26.48
78.9,724.92
874.11,91.32
827.59,129.43
153.86,487.7
884.38,806.98
803.89,968.44
738.76,178.16
278.63,910.39
672.78,228.31
514.41,854.05
791.11,129.19
350.27,296.98
641.82,939.8
460.44,84.44
312.98,353.74
618.76,960.81
399.72,894.21
325.37,283.77
30.67,433.03
632.09,187.01
289.49,42.14
764.68,542.62
770.79,160.44
391.83,507.92
901.9,208.93
382.92,114.82
512.23,479.91
275.68,150.77
471.85,887.54
776.56,654.87
468.43,671.4
761.97,483.97
345.04,631.11
457.89,357.37
31.6,855.6
904.8,678.6
592.95,762.96
421.84,110.95
169.25,600.12
747.21,222.31
954.85,873.81
978.84,937.97
12.41,156.05
772.43,622.61
278.85,889
91.78,620.47
824.98,104.07
611.49,879.82
131.58,382.82
332.84,894.85
216.97,321.03
847.58,873.26
499.59,820.5
580.36,877.7
506.18,870.57
595.35,801.87
269.07,902.24
974.28,853.55
300.71,129.08
243.79,347.04
895.5,533.21
564.75,855.34
151.6,487.08
586.53,854.79
94.85,760.96
101.18,73.37
179.69,932.6
259.81,879.95
833.95,546.03
147.89,934.89
664.13,133.96
123.16,807.72
1.38,109.9
141,797.56
614.48,791.96
193.48,194.31
562.65,957.61
985.95,813.62
626.16,823.44
967.89,73.09
224.06,195.39
524.74,710.89
610.79,932.28
425.22,319.4
96.29,2.65
940.76,839.25
336.78,283.43
894.67,187.57
992.16,407.27
763.68,915.6
992.47,109.32
615.87,339.83
450.29,571.09
346.25,954.12
280.14,270.23
305.15,559.61
642.32,359.68
111.28,133.21
148.18,142.02
872,935.65
522.09,1.3
233.81,850.46
423.21,143.28
238.4,562.8
822.54,168.68
427.63,968.47
509.61,679.3
227.38,544.18
564.36,518.82
490.72,289.32
897.44,288.12
631.52,374.84
892.17,33.63
392.33,163.59
766.51,701.44
934.21,882.08
753.01,221.7
922.97,645
41.05,909.36
612.59,217.46
270.43,228.47
480.23,881.82
759.54,71.5
383.43,359
270.29,103.41
858.41,370.61
703.69,445.61
935.68,339.95
243.15,875.78
851.14,521.96
106.84,159.61
434.05,547.7
896.27,331.71
347.32,380.41
369.12,608.56
558.96,440.58
854.06,390.85
624.31,891.38
575.66,959.88
890.57,148.16
797.95,199.74
261.7,826.97
182.32,778.62
904.57,794.46
180.75,756.43
676.72,898.77
898.88,962.41
166.64,249.44
240.08,53.58
971.77,24.94
774.98,951.96
814.74,701.7
348.74,42.06
427.42,687.68
129.81,733.75
448.8,368.38
121.45,699.44
958.2,837.38
597.66,801.32
267.2,352.39
791.33,826.42
4.58,172.91
751.25,314.49
67.6,711.38
104.37,551.26
847.87,484.16
933.52,999.15
293.61,336.83
69.48,415.27
742.48,27.84
180.18,6.4
254.13,893
596.01,192.2
984.78,582.55
922.64,101.24
314.24,427.03
465.77,285.63
652.56,711.86
478.54,607.02
835.61,354.52
931.08,286.76
704.17,644.71
61.12,439.49
867.64,415.19
467.33,270.3
200.17,505.7
437.98,359.04
891.25,360.72
538.74,583.6
692.48,288.38
268.23,664.78
714.05,439.8
704.84,335.77
200.98,96.15
570.83,946.51
699.8,330.5
239.32,489.12
942.26,833.25
289.09,354.95
833.72,645.19
211.44,964.25
998.51,562.26
611.04,903.89
981.32,872.49
332.02,237.24
269.78,388.9
319.54,438.99
646.61,288.17
485.37,540.41
122.93,607.65
112.72,247.14
796.94,260.27
199.4,614.86
447.07,373.91
627.84,31.65
184.63,361.19
642.33,169.37
542.83,377.6
365.25,183.35
793.59,436.69
283.86,941.49
300.07,981.5
299.79,790.99
378.48,79.27
111.5,176.31
843.46,322.75
404.6,648.66
978.84,97.03
868.27,678.03
61.37,583.68
352.1,921.56
584.06,147.04
821.13,332.55
658.42,139.71
316.61,230.58
743.54,920.83
390.1,920.9
815.06,173.83
527.57,835.63
389.44,272.13
652.17,114.91
365.4,670.51
845.24,710.42
485.74,172.03
576.46,493.85
184.28,42.68
368.56,157.32
9.44,209.04
987.42,34.74
612.71,167.96
432.25,328.81
391.07,561.42
998.15,631.73
964.63,821.78
639.54,762.36
780.37,340.23
32.43,482.41
712.35,113.86
940.69,917.41
949.69,224.25
490.85,538.86
29.32,85.49
94.14,730.11
276.1,587.92
995.42,422.73
512.74,256.07
44.53,176.74
963.06,590.29
59.16,175.06
348.58,85.68
774.38,957.43
433.7,328.33
364.38,946.86
744.89,62.96
562.62,433.78
826.34,485.57
460.97,561.43
266.99,553.23
827.5,168.85
466.44,22.73
994.36,537.11
491.69,651.71
107.23,160.83
709.17,844.02
842.6,210.43
877.6,541.25
28.06,13.69
475.89,115.69
68.51,899.37
933.66,526.71
75.12,375.66
231.29,426.88
859.25,515.83
348.78,579.5
991.22,805.12
583.5,761.69
684.34,231.19
231.84,94.41
106.2,983.26
184.32,869.75
292.17,1.69
948.77,622.45
821.08,272.43
709.23,852
165.56,726.59
78.07,113.83
281.7,516.32
699.23,723.46
661.95,497.49
399.02,311.19
129.22,25.7
51.57,895.82
174.64,604.79
835.96,372.18
19.37,541.3
516.92,431.77
403.94,511.81
613.18,543.53
481.08,14.24
124.86,340.84
230.84,462.8
20.62,964.17
398.13,140.64
999.58,29.26
226.02,207.2
732.32,223.26
553.11,701.56
178.41,556.98
72.6,343.46
551.5,987.2
120.1,112.37
939.24,894.18
905.4,228.25
685.03,615.21
506.68,835.91
89.57,203.14
616.3,146.26
105.85,958.62
627.03,42.6
512.15,619.75
117.71,53.07
719.75,558.21
838.95,739.9
868.43,498.45
119.07,997.82
333.33,383.13
998.99,757.96
669.21,95
490.98,991.31
941.77,665.18
996.17,373.03
900.23,147.66
2,946.26
377.44,82.41
959.99,673.38
972.18,100.93
81.36,398.3
322.18,71.37
80.24,627.02
221.64,540.87
407.73,268.68
421.44,830.87
785.47,638.76
696.19,398.99
811.18,321.78
758.73,964.4
713.67,284.2
530.45,596.1
204.62,195.9
27.38,175.11
849.7,609.26
88.27,549.68
286.79,235.12
253.65,422.95
722.81,205.47
204.39,123.95
960.51,23.42
423.02,108.07
840.15,771.88
290.15,113.05
915.76,988.06
422.72,455.85
407.93,164.79
56.13,180.78
725.85,897.18
473.54,628.24
807.3,658.91
408.17,197.32
292.24,547.08
832.01,417.19
374.57,64.33
358.53,332.47
988.73,495.19
990.05,75.27
281.1,725.88
393.72,108.31
972.23,399.51
602.95,746.15
292.72,147.6
97.11,851.61
305.97,406.04
261.22,980.52
159.29,837.46
477.9,616.9
177.17,813.23
906.52,157.11
405.94,3.35
743.16,266.76
323.59,999.56
49.88,777.91
361.18,103.5
584.46,331.63
607.16,613.68
195.54,197.71
74.96,928.92
865.24,983.92
118.05,986.66
657.8,246.51
704.1,624.18
818.74,753.07
526.54,176.51
401.56,418.08
66.58,586.37
73.86,767.04
845.96,408.53
604.09,290.5
276.97,716.29
241.81,681.76
829.53,19.67
289.94,927.86
113.34,551.83
896.12,539.19
395.38,613.51
248.39,152.15
558,933.01
250.6,569.23
426.15,422.88
83.39,455.39
181.44,813.49
172.11,11.53
524.74,373.53
9.55,61.31
789.27,432.18
943.23,300.99
944.96,992.59
381.86,198.78
511.75,618.33
45.54,164.21
267.76,642.19
977.67,901.3
901.77,837.28
212.74,963.59
764.13,774.95
60.57,727.81
315.82,297.62
125.2,613.44
29.6,481.04
802.09,503.71
219.75,202.87
681.65,764.75
385.51,311.75
320.27,533.16
801.66,503.27
34.61,485.92
211.76,658.19
161.44,894.78
831.44,879.94
95.62,648.47
750.26,726.27
789.09,568.22
783.81,433.94
97.57,145.29
399.08,632.45
926.73,246.21
392.2,415.24
918.9,597.01
853.64,330.61
699.27,610.74
236.32,937.41
625.58,732.76
160.9,336.46
75.35,841.66
505.54,187.8
50.78,313.15
923.43,24.27
394.36,702.2
254.05,510.42
180.8,466.7
179.8,866.7
545.39,102.88
368.46,61.84
33.48,918.29
526.82,401.71
874.97,115.71
650.83,937.64
899.64,656.35
581.8,558.33
964.88,23.05
619.62,19.89
720.32,72.7
298.49,15.28
559.24,620.58
4.33,345.05
718.93,345.88
328.47,303.31
334.37,774.01
957.56,365.18
706.16,886.37
835.12,91.53
622.34,298.29
898.42,405.54
137.49,167.17
280.18,539.7
932.97,129.64
232.13,246.98
197.6,323.35
2.63,686.43
462.7,914.87
939.31,597.29
532.78,678.27
488,525.3
178.75,566.41
13.27,413.3
81.96,251.15
45.37,306.78
410.99,460.98
2.38,449.76
157.46,532.73
772.3,690.65
604.96,43.47
159.94,782.32
836.81,377.43
374.65,717.46
963.5,516.39
747.24,217.19
864.04,119.61
519.61,54.63
771.05,93.26
345.13,563.49
746.29,575.84
793.96,941.52
744.06,973.21
631.96,205.45
456.42,119.27
762.2,466.86
725.08,537.42
964.21,281.66
378.9,157.32
949.73,318.92
455.59,172.39
214.25,371.39
592.96,602.38
208,484.44
735.02,872.68
254.64,908.89
271.46,433.57
436.77,166.35
717.89,958.39
741.5,128.32
80.31,208.98
640.47,255.06
617.64,473.09
961.36,875.78
272.6,393.34
151.33,597.62
458.5,783.99
146.37,574.69
953.42,936.21
522.32,876.84
624.21,722.58
943.89,522.4
799.71,311.19
82,105.96
708.78,375.79
825.03,171.54
740.23,287.31
625.27,930.08
552.51,418.07
284.98,715.31
357.4,829.69
901.14,441.97
353.31,379.77
504.35,825.15
614.6,837.42
29.41,369.74
953.34,937.58
395.04,726.4
254.39,381.18
854.98,842.49
299.65,966.46
223.78,847.04
503.06,283.72
724.07,545.23
760.77,748.54
669.42,189.19
80.68,115.6
640.29,874.53
986.63,750.45
570.82,750.8
467.66,230.33
21.3,303.21
670.04,361.84
902.17,819.84
755.86,368.99
403.6,806.71
447.06,82.36
683.31,186.22
1000.75,508.99
221.21,472.99
133.83,42.89
236.95,806.53
645.56,992.66
91.46,394.62
512.3,181.66
194.55,283.35
962.95,576.26
704.58,489.29
757.92,24.07
964.2,875.42
154.6,801.13
670.78,820.19
247.47,834.77
19.81,476.18
536.91,662.46
939.05,639.17
753.24,884.31
525.05,923.43
229.56,379.99
453.46,512.66
587.74,164.94
958.03,744.97
648.83,117.68
365.18,328.41
116.12,37.45
421.61,587.51
18.86,870.23
639.69,638.78
583.77,188.95
67.04,791.7
348.9,115.42
933.38,137.85
717.19,194.04
171.98,846.17
308.75,815.79
672.7,534.91
308.87,887.91
900.15,437.25
974.91,698.13
322.84,311.76
941.65,343.3
364.21,149.23
686.69,742.63
71.66,320.79
59.23,737.35
162,503.37
709.6,478.47
911.64,378.78
60.88,307.81
222.27,979.19
964.11,750.19
315.37,596.16
531.98,24.37
400.25,864.45
945,938.5
61.1,556.42
143.51,675.78
570.47,676.7
899.48,811
490.82,14.32
446.98,904.85
720.36,585.88
785,407.69
874.71,726.23
655.56,14.53
706.76,299.45
327.9,265.52
465.63,548.39
706.57,398.06
285.73,811.75
657.11,72.62
44.47,909.28
26.82,997.77
840.74,261.98
747.04,518.93
863.66,343.25
490.27,814.97
14.39,37.26
129.87,200.06
286.21,956.38
9.78,977.51
187.88,999.82
823,108.61
520.19,191.02
62.07,341.75
138.51,776.47
80.9,112.83
154.7,246.69
173.17,116.97
568.13,84.43
595.67,896.73
410.37,374.52
586.34,256.63
38.62,138.56
422.04,220.88
44.59,654.05
114.09,962.22
275.33,476.4
204.83,836.52
7.61,314.65
993.54,506.86
684.64,459.9
28.97,435.86
352.37,471.07
443.09,364.32
792.34,444.54
381.03,107.31
889.76,529.3
682.41,562.23
36.36,921.71
77.09,120.75
194.25,530.46
605.83,301.01
190.3,304.94
35.65,235.48
721.29,964.45
120.57,852.87
838.44,292.71
965,387.31
126.15,452.38
960.17,599.9
180.73,898.41
600.78,864.57
132.28,160.65
811.96,685.18
365.98,500.09
216.87,506.11
917.44,78.46
927.79,752.7
343.89,421.57
703.36,206.18
147.76,762.81
204.03,286.58
802.17,530.54
859.26,56.17
563.55,772.69
537.26,805
609.71,295.67
356.07,593.01
968.67,687.17
554.42,505.63
495.53,810.87
644.61,943.66
40.63,699.33
43.99,987.75
489.46,170.06
491.17,234.9
550.5,368.67
858,62.36
192.75,280.6
471.73,532.99
807.05,921.39
240.84,306.79
224.41,425.27
84.86,261.9
74.19,19.92
319.07,392.91
527.17,121.7
76.17,70.04
858.79,783.75
844.95,652.35
277.88,135.08
368.09,966.17
820.09,252.36
757.95,239.77
414.88,108.31
970.41,892.21
736.28,877.04
757.36,22.3
82.89,119.96
995.46,680.65
63.58,727.68
525.13,409.75
839.09,430.58
851.23,976.25
898.77,710.07
897.77,56.82
921.49,182.02
976.03,552.91
833.32,801.36
401.15,873.33
430.95,137.14
155.96,786.65
424.45,661.19
332.94,850.59
386.84,343.69
846.6,529.04
77.42,232.6
491.59,730.45
692.69,354.59
673.58,676.22
269.73,778.56
662.9,965.3
534.7,552.03
125.52,937.54
756.99,46.12
867.48,820.49
632.51,162.09
604.96,888.74
886.66,985.98
401.72,149.21
500.29,794.35
37.32,561.09
16.42,153.84
405.91,459.43
758.65,61.72
5.85,639.05
390.57,990.97
232.09,513.67
635.3,98.79
575.42,658.44
972.73,778.76
421.76,601.31
855.87,513.07
17.14,606.49
613.91,341.13
730.59,959.37
525.94,344.26
663.72,592.72
606.27,785.2
175.2,97.04
782.76,72.78
573.42,594.18
866.26,647.27
99.48,969.6
713.55,399.08
215.91,515.35
122.4,850.92
756.51,311.92
715.49,463.48
292.75,370.69
965.54,85.16
833.37,999.32
137.52,989.66
95.59,40.84
403.91,477.57
355.92,109.49
953.6,794.28
772.08,160.67
706.1,546.55
23.94,220.55
521.02,575.74
411.86,784.88
523.32,699.16
733.51,550.67
68.06,76.85
157.97,445.51
868.19,669
758.02,534.3
978.43,661.3
629.82,412.4
841.22,47.66
725.93,347.28
157.58,164.24
226.26,17.65
546.95,674.82
44.32,610.1
762.23,924.74
944.67,994.13
678.39,558.72
852.1,608.82
299.44,83.46
449.41,680.98
554.78,508.8
644.92,579.73
884.64,54.05
625.42,165.09
412.7,10.19
31.46,774.19
271.74,904.83
222.78,544.74
450.07,836.46
377.09,757.54
819.2,345.22
435.27,870.49
254.47,352.29
85.2,50.26
410.9,475.22
571.38,41.42
974.51,964.56
487.2,676.16
788.34,416.22
