a,b
678.58,731.23
236.24,917.47
923.19,162.02
464.25,695.68
475.96,887.45
787.58,461.82
384.81,4.4
233.11,986.17
359.85,716.88
575.17,68.23
400.37,183.17
393.68,659.7
644.68,94.59
497.14,913.7
801.46,683.35
605.11,75.35
264.29,180.9
650.92,201.7
333.31,904.27
542.01,582.27
492.94,756.26
356.07,562.3
51.19,370.68
482.96,474.08
698.01,568.92
962.34,279.38
77.73,47.36
61.9,739.18
287.87,129
338.09,975.29
966.06,507.69
829.6,39.64
624.47,19.06
739.5,653.36
451.61,631
322.09,947.64
646.07,175.35
747.22,729
533.24,174.25
928.96,821.84
941.11,51.87
879.36,158.56
869.29,303.88
553.8,910.08
731.23,19.26
201.76,713.35
169.77,981
598.29,931.17
5.81,346.61
717.87,474.01
628.16,950.87
593.56,996.99
360.47,362.66
169.04,376.34
727.27,574.12
166.88,631.98
515.85,342.22
120.23,168.85
99.85,269.04
180.78,462.79
105.53,924.11
720.22,593.29
332.68,962.9
12.68,77.06
528.8,878.86
314.59,142.07
6.82,196.89
799.35,553.61
66.05,801.92
741.05,89.35
421.83,434.35
675.12,751.77
460.1,720.53
618.8,836.47
626.4,622.99
567.51,98.24
797.23,269.79
129.48,100.71
208.19,764.69
350.16,725.55
357.57,543.89
720.01,723.86
506.62,255.22
381.08,798.39
852.8,309.14
17.14,165.53
163.34,962.51
35.2,511.87
102.14,857.5
556.9,573.02
811.22,341.13
847.15,552.93
355.42,430.78
629.84,300.2
256.65,917.99
143.2,975.11
533.71,407.35
911.97,319.46
696.85,420.79
548.18,1.9
975.35,900.47
284.73,290.32
915.41,834.05
933.22,810.86
827.55,508.75
545.3,841.54
265.26,374.55
738.78,573.85
982.07,96.6
822.88,430.33
466.67,724.52
114.44,558.3
915.89,961.2
573.08,10.65
1.43,983.9
885.96,651.38
903.47,919.49
917.74,370.85
372.78,876.17
196.63,271.45
460.88,702.4
267.87,891.12
979.01,119.35
391.55,397.45
976.26,349.54
115.85,135.87
200.92,998.33
951.76,3.52
879.33,342.21
99.91,12.05
217.04,818.74
250.25,242.64
663.06,773.83
648.85,277.06
491.86,342.79
819.11,19.18
590.54,191.31
599.44,194.8
149.66,467.69
42.11,639.53
537.13,56.66
785.8,424.56
527.85,904.31
478.66,331.01
157.55,738.84
123.58,879.57
448.46,212.34
458.02,120.74
509.76,348.82
340.09,418.84
232.5,792.04
298.58,768.99
358.87,8.68
719.84,692.18
684.65,977.28
923.61,923.51
894.24,292.75
706.02,28.49
886.19,153.78
45.1,919.62
934.72,365.99
